url,headline,description,image_url
https://www.deutschlandfunk.de/tschechien-hebt-russisches-propaganda-netzwerk-in-eu-aus-102.html,Tschechien hebt russisches Propaganda-Netzwerk in EU aus,"Der tschechische Geheimdienst hat nach Regierungsangaben ein von Russland finanziertes Propaganda-Netzwerk in der EU ausgehoben. Ministerpräsident Fiala erklärte, die Gruppe habe die in Prag ansässige Nachrichtenseite ""Voice of Europe"" genutzt. Über diese seien Informationen mit dem Ziel verbreitet worden, dass die Länder der Europäischen Union ihre Hilfe für die Ukraine verringerten oder einstellten.",https://bilder.deutschlandfunk.de/12/30/5f/b0/12305fb0-5e9f-4f71-9d1d-9884ed9afd9b/tschechien-prag-fiala-proteste-schulen-schliessung-gewerkschaften-sparkurs-regierung-100-1920x1080.jpg
https://www.deutschlandfunk.de/tarifloesung-fuer-lufthansa-bodenpersonal-gefunden-102.html,Tariflösung für Lufthansa-Bodenpersonal gefunden,Der Tarifkonflikt des Lufthansa-Bodenpersonals ist beigelegt. Nach einer erfolgreichen Schlichtung haben sich Lufthansa und die Gewerkschaft Verdi auf Grundzüge eines Tarifvertrags für die rund 25.000 Beschäftigten geeinigt. Damit sind drohende Streiks dieser Beschäftigtengruppe über die Osterferien abgewendet.,https://bilder.deutschlandfunk.de/d8/89/e7/38/d889e738-20d5-4b44-89d0-0f5f1d62af87/bodenpersonal-lufthansa-100-1920x1080.jpg
https://www.deutschlandfunk.de/mindestens-vier-tote-bei-reisebusunfall-auf-a9-bei-leipzig-102.html,Mindestens vier Tote bei Reisebusunfall auf A9 bei Leipzig,"Bei einem Verkehrsunfall mit einem Fernbus xauf der Autobahn 9 bei Leipzig sind vier Menschen ums Leben gekommen. Zudem wurden mehr als 20 verletzt, wie die Polizei Sachsen mitteilte.",https://bilder.deutschlandfunk.de/98/f8/0f/06/98f80f06-15cb-44c5-b790-9c9802de7c68/unfall-reisebus-autobahn-9-100-1920x1080.jpg
https://www.deutschlandfunk.de/wirtschaftsministerium-fuer-neue-foerdermoeglichkeiten-auf-eu-ebene-warum-stockt-die-solarbranche-in-100.html,Wirtschaftsministerium für neue Fördermöglichkeiten auf EU-Ebene - Warum stockt die Solarbranche in Deutschland?,"Nach dem Rückzug des Solarmodulherstellers Meyer Burger aus Sachsen wird über die weitere Unterstützung der Branche diskutiert. Das Bundeswirtschaftsministerium kündigte an, sich für neue Fördermöglichkeiten auf EU-Ebene einzusetzen.",https://bilder.deutschlandfunk.de/11/10/fd/99/1110fd99-e64e-48e3-9a5e-3c36e416eea9/solarenergie-100-1920x1080.jpg
https://www.deutschlandfunk.de/hunderte-neue-hinweise-auf-fruehere-raf-terroristen-104.html,Hunderte neue Hinweise auf frühere RAF-Terroristen,"Auf der Suche nach den beiden untergetauchten mutmaßlichen RAF-Terroristen Staub und Garweg haben die Ermittler neue Fahndungsplakate veröffentlicht. Wie das federführende niedersächsische Landeskriminalamt mitteilte, sollen diese bundesweit verteilt werden. Aktuell verfolgen die Ermittler bei der Fahndung nach den beiden Männern Hunderte von Hinweisen.",https://bilder.deutschlandfunk.de/41/74/ce/c3/4174cec3-cb9d-46ab-89bc-69d8823faaf7/raf-garweg-staub-100-1920x1080.jpg
https://www.deutschlandfunk.de/suche-nach-vermissten-des-brueckeneinsturzes-eingestellt-ermittlungen-laufen-an-100.html,Suche nach Vermissten des Brückeneinsturzes eingestellt - Ermittlungen laufen an,"Nach dem Einsturz einer Brücke in Baltimore im US-Bundesstaat Maryland haben die Rettungskräfte keine Hoffnung mehr, Überlebende zu finden. Die Ermittlungen stehen am Anfang.",https://bilder.deutschlandfunk.de/64/ab/6e/1a/64ab6e1a-f07e-4f97-b913-2c872f8a9bc7/bruecke-baltimore-100-1920x1080.jpg
https://www.deutschlandfunk.de/zahl-der-toten-bei-terrorangriff-steigt-auf-102.html,Zahl der Toten bei Terrorangriff steigt auf 143,Nach dem Terrorangriff auf eine Konzerthalle bei Moskau ist die Zahl der Toten auf 143 gestiegen.,https://bilder.deutschlandfunk.de/52/88/93/21/52889321-c8a4-48d6-9e0a-5f018a5e785d/moskau-russland-trauer-terrorangriff-anschlag-tote-gedenken-blumen-100-1920x1080.jpg
https://www.deutschlandfunk.de/drei-tote-und-rund-30-verletzte-bei-neuen-russischen-luftangriffen-102.html,Drei Tote und rund 30 Verletzte bei neuen russischen Luftangriffen,Bei weiteren russischen Angriffen sind in der Ukraine nach Behördenangaben mindestens drei Menschen getötet und rund 30 weitere verletzt worden.,https://bilder.deutschlandfunk.de/1d/06/2f/76/1d062f76-91ad-44dc-b156-7942b92ff2c7/urkaine-russland-charkiw-angriff-krieg-drohnen-raketen-stadt-feuerwehr-brand-haus-100-1920x1080.jpg
https://www.deutschlandfunk.de/scholz-trotz-konjunkturflaute-keine-einschnitte-beim-sozialstaat-100.html,Scholz: Trotz Konjunkturflaute keine Einschnitte beim Sozialstaat,Bundeskanzler Scholz hat Einschnitte im Sozialstaat zur Ankurbelung der Konjunktur ausgeschlossen.,https://bilder.deutschlandfunk.de/30/ad/86/2c/30ad862c-22fa-4979-b458-7ca61d25ec40/bundestag-kanzler-scholz-regierungserklaerung-100-1920x1080.jpg
https://www.deutschlandfunk.de/eu-staaten-einigen-sich-auf-konkrete-beschraenkungen-fuer-zollfreie-agrarimporte-aus-der-ukraine-102.html,EU-Staaten einigen sich auf konkrete Beschränkungen für zollfreie Agrarimporte aus der Ukraine,Die Staaten der EU haben sich auf konkrete Beschränkungen für die zollfreie Einfuhr bestimmter ukrainischer Agrarprodukte geeinigt.,
https://www.deutschlandfunk.de/usa-und-israel-wollen-nun-doch-ueber-geplante-rafah-offensive-sprechen-100.html,USA und Israel wollen nun doch über geplante Rafah-Offensive sprechen,Die kürzlich abgesagten Gespräche zwischen den USA und Israel über den Krieg im Gazastreifen sollen nun doch stattfinden.,
https://www.deutschlandfunk.de/schnellere-zulassung-von-arzneimitteln-geplant-100.html,Schnellere Zulassung von Arzneimitteln geplant,Das Bundeskabinett hat das Medizinforschungsgesetz auf den Weg gebracht. Damit sollen Genehmigungen für klinische Prüfungen sowie Zulassungen von Arzneimitteln beschleunigt und entbürokratisiert werden. Mit dem Gesetz will Bundesgesundheitsminister Lauterbach (SPD) den Standort Deutschland für Forschung und Produktion von Pharmafirmen attraktiver machen.,
https://www.deutschlandfunk.de/bundeswirtschaftsminister-habeck-fuer-staerkere-ruestungsproduktion-100.html,Bundeswirtschaftsminister Habeck für stärkere Rüstungsproduktion,Bundeswirtschaftsminister Habeck die Notwendigkeit einer starken Rüstungsindustrie in Deutschland betont.,
https://www.deutschlandfunk.de/lindner-plant-weitere-kuerzung-des-entwicklungsetats-102.html,Lindner plant weitere Kürzung des Entwicklungsetats,Bundesfinanzminister Lindner drängt laut einem Medienbericht das Entwicklungsministerium zu weiteren Einsparungen.,
https://www.deutschlandfunk.de/anklage-gegen-siemens-mitarbeiter-wegen-turbinen-export-auf-die-krim-100.html,Anklage gegen Siemens-Mitarbeiter wegen Turbinen-Export auf die Krim,Die Hamburger Staatsanwaltschaft hat Anklage gegen fünf Siemens-Mitarbeiter wegen des Exports von Gasturbinen auf die Krim erhoben.,
https://www.deutschlandfunk.de/polen-beruft-eurokorps-kommandeur-ab-100.html,Polen beruft Eurokorps-Kommandeur ab,Die polnische Regierung hat den Eurokorps-Kommandeur wegen Spionage-Ermittlungen abberufen.,
https://www.deutschlandfunk.de/aenderungen-bei-zeitvertraegen-in-der-wissenschaft-102.html,Änderungen bei Zeitverträgen in der Wissenschaft,Die Bundesregierung will die Arbeitsbedingungen von jungen Wissenschaftlerinnen und Wissenschaftlern verbessern. Das Kabinett brachte dazu Änderungen am sogenannten Wissenschaftszeitvertragsgesetz auf den Weg.,
https://www.deutschlandfunk.de/wissing-tarifergebnis-bei-der-bahn-wird-sich-auf-fahrpreise-auswirken-100.html,Wissing: Tarifergebnis bei der Bahn wird sich auf Fahrpreise auswirken,Die Einigung im Tarifstreit zwischen Deutscher Bahn und Gewerkschaft der Lokführer dürfte laut Bundesverkehrsminister Wissing zu höheren Fahrpreisen führen. Das brächten Lohnsteigerungen mit sich.,
https://www.deutschlandfunk.de/keine-entschaedigung-wegen-staatlicher-willkuer-fuer-ddr-dopingopfer-102.html,"Keine Entschädigung wegen ""staatlicher Willkür"" für DDR-Dopingopfer",Opfer des Staatsdopings in der DDR haben über Mittel aus dem bestehenden Hilfegesetz hinaus keinen Anspruch auf weitere Entschädigungen. Dies entschied das Bundesverwaltungsgericht in Leipzig. Es wies die Klage einer früheren Kanu-Sportlerin auf sogenannte verwaltungsrechtliche Rehabilitierung ab.,
https://www.deutschlandfunk.de/wirtschaft-angeschlagen-forschungsinstitute-senken-konjunkturprognose-100.html,"Wirtschaft ""angeschlagen"": Forschungsinstitute senken Konjunkturprognose","Die deutsche Wirtschaft wird in diesem Jahr kaum wachsen. Das geht aus der aktualisierten Prognose der führenden Forschungsinstitute hervor. Sie rechnen nur noch mit einem marginalen Wirtschaftswachstum um 0,1 Prozent.",
https://www.deutschlandfunk.de/fuer-paesse-und-personalausweise-soll-kuenftig-digitalbild-reichen-100.html,Für Pässe und Personalausweise soll künftig Digitalbild reichen,Für die Beantragung eines neuen Personalausweises oder Reisepasses soll ab Ende April 2025 kein ausgedrucktes Foto mehr erforderlich sein.,
https://www.deutschlandfunk.de/zahl-der-elterngeld-empfaenger-gesunken-100.html,Zahl der Elterngeld-Empfänger gesunken,2023 haben weniger Menschen in Deutschland Elterngeld bezogen als im Jahr zuvor.,
https://www.deutschlandfunk.de/feuer-mit-vier-toten-ermittler-gehen-von-brandstiftung-aus-100.html,Feuer mit vier Toten: Ermittler gehen von Brandstiftung aus,Nach dem Feuer in einem Mehrfamilienhaus in Solingen mit vier Toten gehen die Ermittler von Brandstiftung aus.,
https://www.deutschlandfunk.de/fast-ein-fuenftel-der-erzeugten-lebensmittel-wird-verschwendet-102.html,Fast ein Fünftel der erzeugten Lebensmittel wird verschwendet,Weltweit wird fast ein Fünftel der erzeugten Lebensmittel verschwendet.,
https://www.deutschlandfunk.de/tote-an-der-grenze-von-israel-zum-libanon-100.html,Tote an der Grenze von Israel zum Libanon,Bei Gefechten an der Grenze zwischen Israel und dem Libanon sind mindestens acht Menschen getötet worden.,
https://www.deutschlandfunk.de/ukraine-weist-verwicklung-in-moskau-anschlag-strikt-zurueck-fsb-macht-westliche-geheimdienste-mitver-100.html,Ukraine weist Verwicklung in Moskau-Anschlag strikt zurück - FSB macht westliche Geheimdienste mitverantwortlich,"Der ukrainische Botschafter in Deutschland, Makeiev, hat russische Mußmaßungen über eine Verwicklung seines Landes in den Anschlag bei Moskau zurückgewiesen. Im Deutschlandfunk sprach er von absurden Beschuldigungen.",
https://www.deutschlandfunk.de/weitere-luftangriffe-auf-charkiw-mindestens-ein-todesopfer-100.html,Weitere Luftangriffe auf Charkiw - mindestens ein Todesopfer,Die Ukraine hat erneut russische Luftangriffe auf die Stadt Charkiw im Osten des Landes gemeldet. Dabei ist nach Angaben des Bürgermeisters von Charkiw ein Wohngebiet getroffen worden.,
https://www.deutschlandfunk.de/thailands-parlament-billigt-ehe-fuer-alle-100.html,"Thailands Parlament billigt ""Ehe für alle""","Das Parlament in Thailand hat ein Gesetz gebilligt, das gleiche Rechte für Ehepartner jeglichen Geschlechts vorsieht.",
https://www.deutschlandfunk.de/frankreich-und-brasilien-wollen-eine-milliarde-euro-fuer-amazonas-ausgeben-102.html,Frankreich und Brasilien wollen eine Milliarde Euro für Amazonas ausgeben,"Frankreich und Brasilien wollen gemeinsam eine Milliarde Euro in das Amazonasgebiet investieren. Damit wollen die beiden Staaten die Bioökonomie stärken und so den Amazonas erhalten, wie der französische Präsident Macron bei einem Besuch in Brasilien erklärte. Die Investition solle auch Französisch-Guyana, dem französischen Überseegebiet in Südamerika, zugutekommen.",
https://www.deutschlandfunk.de/strafzettel-aus-der-schweiz-werden-bald-in-deutschland-eingetrieben-100.html,Strafzettel aus der Schweiz werden bald in Deutschland eingetrieben,Strafzettel in der Schweiz für deutsche Verkehrssünder können ab dem 1. Mai auch hierzulande eingetrieben werden.,
https://www.deutschlandfunk.de/staatsanwaltschaft-fordert-haft-fuer-verbandschef-rubiales-wegen-uebergriffigem-kuss-nach-frauen-wm--102.html,Staatsanwaltschaft fordert Haft für Verbandschef Rubiales wegen übergriffigem Kuss nach Frauen-WM-Sieg,"Dem früheren Präsidenten des spanischen Fußballverbandes, Rubiales, droht wegen seines Verhaltens während der Fußball-WM der Frauen im vergangenen Jahr eine Gefängnisstrafe.",
https://www.deutschlandfunk.de/cdu-aussenpolitiker-hardt-enthaltung-der-usa-im-uno-sicherheitsrat-ist-schwerer-schlag-fuer-israel-100.html,CDU-Außenpolitiker Hardt: Enthaltung der USA im UNO-Sicherheitsrat ist schwerer Schlag für Israel,"Der außenpolitische Sprecher der Unionsfraktion, Hardt, sieht in der Enthaltung der USA im UNO-Sicherheitsrat bei der Resolution für eine Waffenruhe im Gazastreifen einen schweren Schlag für Israel.",
https://www.deutschlandfunk.de/us-verteidigungsminister-austin-fordert-von-seinem-israelischem-kollegen-galant-besseren-schutz-der--104.html,US-Verteidigungsminister Austin fordert von seinem israelischem Kollegen Galant besseren Schutz der Zivilisten im Gazastreifen,"US-Verteidigungsminister Austin hat seinen israelischen Kollegen Galant in Washington empfangen. Austin äußerte laut Redeprotokoll seinen Unmut über die hohe Zahl ziviler Opfer im Gazastreifen. Zudem erklärte er, dass nicht genügend humanitäre Hilfe in das Kriegsgebiet gelange.",
https://www.deutschlandfunk.de/israel-meldet-tod-von-hochrangigem-hamas-anfuehrer-102.html,Israel meldet Tod von hochrangigem Hamas-Anführer,Israel meldet den Tod eines hochrangigen Anführers des bewaffneten Flügels der militant-islamistischen Hamas.,
https://www.deutschlandfunk.de/debatte-um-aufarbeitung-der-corona-massnahmen-100.html,Debatte um Aufarbeitung der Corona-Maßnahmen,"Vier Jahre nach der Ausbreitung des Coronavirus werden die Stimmen lauter, die eine Aufarbeitung der Pandemie-Maßnahmen in Deutschland fordern. Bei der Frage, welche Maßnahmen hierfür geeignet wären, herrscht jedoch keine Einigkeit.",
https://www.deutschlandfunk.de/schuldenstand-ende-2023-um-gut-drei-prozent-gestiegen-100.html,Schuldenstand Ende 2023 um gut drei Prozent gestiegen,"Die öffentliche Verschuldung in Deutschland ist im vergangenen Jahr um 3,3 Prozent gestiegen.",
https://www.deutschlandfunk.de/ukrainischer-botschafter-makeiev-bestaetigt-treffen-mit-spd-spitze-100.html,Ukrainischer Botschafter Makeiev bestätigt Treffen mit SPD-Spitze,"Nach den umstrittenen Äußerungen des SPD-Fraktionsvorsitzenden Mützenich zum Ukrainekrieg hat es ein Gespräch der Parteispitze mit dem ukrainischen Botschafter in Deutschland, Makeiev, gegeben. Makeiev sagte im Deutschlandfunk, er habe sich in der vergangenen Woche mit SPD-Chef Klingbeil, Fraktionschef Mützenich und Generalsekretär Kühnert hinter verschlossenen Türen getroffen.",
https://www.deutschlandfunk.de/venezuelas-groesstes-oppositionsbuendnis-stellt-bisher-unbekannten-kandidaten-zur-wahl-auf-100.html,Venezuelas größtes Oppositionsbündnis stellt bisher unbekannten Kandidaten zur Wahl auf,Venezuelas größtes Oppositionsbündnis zieht nun doch mit einem eigenen Kandidaten in die Präsidentschaftswahl im Juli.,
https://www.deutschlandfunk.de/tausende-fordern-in-budapest-ruecktritt-von-viktor-orb-n-100.html,Tausende fordern in Budapest Rücktritt von Viktor Orbán,In der ungarischen Hauptstadt Budapest haben tausende Menschen den Rücktritt von Ministerpräsident Orban gefordert. Die Demonstranten warfen der Regierung die Verwicklung in einen Korruptionsfall vor.,
https://www.deutschlandfunk.de/parteiloser-praesidentschaftsbewerber-kennedy-stellt-vize-kandidatin-schanahan-vor-108.html,Parteiloser Präsidentschaftsbewerber Kennedy stellt Vize-Kandidatin Schanahan vor,In den USA hat der parteilose Präsidentschaftsbewerber Robert F. Kennedy die Juristin und Unternehmerin Nicole Shanahan als Vizepräsidentschaftskandidatin benannt.,
https://www.deutschlandfunk.de/scholz-angekuendigte-grenzkontrollen-waehrend-der-fussball-em-nichts-ungewoehnliches-100.html,Scholz: Angekündigte Grenzkontrollen während der Fußball-EM nichts ungewöhnliches,Bundeskanzler Scholz hat sich während eines Besuchs in Slowenien zur Sicherheitslage in Deutschland nach dem Terroranschlag in Russland geäußert.,
https://www.deutschlandfunk.de/2-13-20-32-41-100.html,2 - 13 - 20 - 32 - 41 - 44,Die Lottozahlen: 2 - 13 - 20 - 32 - 41 - 44,
https://www.deutschlandfunk.de/verbreitet-bewoelkt-mit-weiteren-niederschlaegen-110.html,Verbreitet bewölkt mit weiteren Niederschlägen,"Das Wetter: Nachts meist bewölkt und regnerisch, im Osten größere Wolkenlücken und weitgehend trocken. Tiefstwerte 9 bis 0 Grad. Am Tag verbreitet bewölkt mit weiteren Niederschlägen bei 9 bis 15 Grad.",
